yyyymm;veh_f_all;veh_s_all;veh_u_all;veh_r_all;vehrn_lp_all;vehrn_biap_all;vehrn_lr_all;vehrn_biar_all;vehrn_gt_all;vehrn_mpg_all;vehrn_hp_all;vehrn_hr_all;vehrn_tb_all;vehrn_fb_all;vehrn_gas_all;vehrn_sel_all
200602;64;6;30;134;40;4;15;1;3;6;10;5;6;1;9;6
200603;66;6;28;138;42;3;14;1;4;5;12;3;4;2;9;6
200604;63;6;31;132;36;5;13;2;3;8;8;4;4;3;15;5
200605;53;6;41;112;30;3;11;1;2;10;10;3;4;2;25;14
200606;60;4;36;124;35;3;9;2;3;9;10;3;5;2;15;10
200607;61;8;31;130;39;5;13;3;1;7;11;3;2;2;13;6
200608;60;4;36;124;42;3;11;2;1;7;12;7;5;3;17;7
200609;61;6;33;128;39;4;11;1;2;8;10;4;5;1;14;6
200610;66;5;29;137;41;3;14;1;3;5;11;5;5;2;9;7
200611;67;6;27;140;45;3;16;1;2;4;11;5;8;1;7;4
200612;66;8;26;140;38;5;12;1;3;4;11;5;6;1;5;5
200701;64;8;28;136;41;4;13;1;3;5;11;4;6;1;6;6
200702;63;7;30;133;40;4;12;1;3;4;11;4;7;4;6;5
200703;65;8;27;138;41;4;17;0;2;4;11;3;6;1;6;5
200704;63;6;31;132;37;4;18;1;2;5;12;5;6;2;9;6
200705;58;8;34;124;38;4;13;1;2;7;12;3;3;2;15;6
200706;55;8;37;118;31;5;11;1;3;11;11;4;4;3;18;10
200707;60;5;35;125;37;4;12;1;3;4;11;3;8;1;14;6
200708;63;7;30;133;35;3;16;2;3;4;9;6;6;4;9;6
200709;67;5;28;139;38;3;18;1;2;6;10;4;6;3;7;5
200710;60;8;32;128;36;4;15;0;2;4;12;7;8;3;5;3
200711;55;7;38;117;32;3;13;1;3;6;14;7;10;4;9;6
200712;56;5;39;117;35;2;11;0;1;3;13;6;9;3;13;5
200801;56;7;37;119;33;4;10;1;0;5;8;5;10;3;9;6
200802;55;9;36;119;37;3;15;0;1;4;11;6;12;7;8;7
200803;54;6;40;114;36;3;16;0;1;5;9;4;15;6;13;5
200804;51;8;41;110;34;3;14;0;0;5;9;4;17;8;14;5
200805;45;6;49;96;34;2;8;0;1;9;8;6;15;8;22;10
200806;43;5;52;91;32;1;9;0;1;11;11;3;14;4;24;12
200807;49;5;46;103;38;1;8;0;1;8;8;4;15;5;23;11
200808;49;5;46;103;38;2;7;0;0;10;10;3;15;6;17;13
200809;52;4;44;108;40;2;9;0;1;8;9;6;14;6;15;13
200810;47;4;49;98;41;2;9;0;0;4;9;17;17;10;11;8
200811;56;3;41;115;51;1;10;0;1;1;9;11;16;12;4;8
200812;59;3;38;121;53;2;6;0;1;2;9;8;14;8;3;6
200901;61;2;37;124;57;1;13;0;1;2;5;10;15;9;3;4
200902;61;5;34;127;58;0;12;0;0;1;8;6;12;13;2;5
200903;60;5;35;125;57;0;11;0;2;1;7;7;13;12;2;3
200904;62;5;33;129;57;1;15;0;1;1;4;5;14;9;3;3
200905;65;2;33;132;60;1;19;0;1;2;7;4;12;8;1;4
200906;68;3;29;139;64;2;11;0;1;1;5;5;9;8;1;2
200907;63;5;32;131;56;2;10;0;1;2;5;6;13;8;3;4
200908;68;3;29;139;56;0;9;0;1;2;4;4;12;10;3;4
200909;61;4;35;126;52;3;8;0;2;4;10;6;11;8;2;4
200910;59;6;35;124;53;2;14;0;1;1;10;7;13;9;2;4
200911;61;4;35;126;50;2;11;0;2;3;7;5;13;10;2;4
200912;61;5;34;127;54;2;16;0;1;3;11;6;10;10;1;3
201001;60;6;34;126;49;3;13;0;3;2;8;5;14;8;1;3
201002;62;2;36;126;50;1;17;0;2;4;9;8;12;9;1;6
201003;62;7;31;131;52;1;17;0;2;3;8;7;13;7;2;7
201004;70;2;28;142;60;2;19;1;2;2;9;4;10;7;2;2
