Date,h=1,h=3,h=12
9/1968,0.590545583,0.723173282,0.857995914
10/1968,0.598100274,0.727520567,0.859845235
11/1968,0.603608566,0.7334825,0.864558999
12/1968,0.602316344,0.736866079,0.869361425
1/1969,0.603246667,0.740424926,0.873411012
2/1969,0.611348043,0.750019545,0.881438495
3/1969,0.616167007,0.758037999,0.890899682
4/1969,0.62659462,0.769771574,0.90226549
5/1969,0.63729036,0.781655968,0.912773098
6/1969,0.640001526,0.784104179,0.913790264
7/1969,0.639065165,0.782814509,0.913272293
8/1969,0.636032807,0.779826833,0.913067448
9/1969,0.63520639,0.777707685,0.911348842
10/1969,0.635794521,0.777971069,0.910642224
11/1969,0.648364519,0.785572121,0.913120303
12/1969,0.652925775,0.792645016,0.918444423
1/1970,0.676482534,0.81265502,0.926784487
2/1970,0.672051959,0.814745043,0.930350165
3/1970,0.673073694,0.816672984,0.933193981
4/1970,0.680861772,0.821489213,0.933726901
5/1970,0.677891092,0.820233422,0.932008408
6/1970,0.669395719,0.810833405,0.925151669
7/1970,0.667717308,0.809075349,0.923152703
8/1970,0.673188648,0.812506279,0.923453898
9/1970,0.684223192,0.818930399,0.923660974
10/1970,0.711890964,0.839513683,0.929267797
11/1970,0.711167783,0.840748555,0.931383207
12/1970,0.731546525,0.854686557,0.937957847
1/1971,0.697053063,0.827611088,0.927015436
2/1971,0.665273929,0.802259076,0.917148441
3/1971,0.639418364,0.780350259,0.908115306
4/1971,0.62763869,0.769572172,0.903430962
5/1971,0.625388262,0.764055146,0.898755572
6/1971,0.634492979,0.765270057,0.895919473
7/1971,0.641540183,0.768339735,0.895412145
8/1971,0.639067939,0.767842212,0.895828614
9/1971,0.635031622,0.767917746,0.897188756
10/1971,0.626561583,0.762652283,0.894631342
11/1971,0.628434038,0.764182199,0.894420596
12/1971,0.6439925,0.776965231,0.899573774
1/1972,0.650255227,0.780126368,0.899342998
2/1972,0.623531275,0.760116164,0.890162485
3/1972,0.605639615,0.744617318,0.883834444
4/1972,0.596347958,0.734196846,0.877708145
5/1972,0.595699557,0.733855401,0.87723703
6/1972,0.602856911,0.740982451,0.881019572
7/1972,0.62063864,0.756176036,0.888498455
8/1972,0.629168096,0.765912312,0.895496399
9/1972,0.630667887,0.76891418,0.898912841
10/1972,0.646420406,0.77995737,0.903995303
11/1972,0.649229651,0.785316386,0.907587651
12/1972,0.65833246,0.796094805,0.914892239
1/1973,0.670247758,0.810519814,0.925412252
2/1973,0.682281389,0.82841372,0.939769676
3/1973,0.684109084,0.836927878,0.949827419
4/1973,0.689005677,0.846101198,0.96067687
5/1973,0.69587553,0.860114498,0.974901706
6/1973,0.718498349,0.887628414,0.993915867
7/1973,0.760924903,0.934790318,1.022405124
8/1973,0.793989409,0.967816117,1.040367375
9/1973,0.799501387,0.97119387,1.042879586
10/1973,0.804384581,0.967542397,1.041452315
11/1973,0.792083251,0.95538587,1.036676182
12/1973,0.793513896,0.951850072,1.034872841
1/1974,0.798280371,0.949662854,1.031858494
2/1974,0.788903159,0.943202069,1.030484215
3/1974,0.785570081,0.942485749,1.031282078
4/1974,0.793099323,0.948607896,1.034117299
5/1974,0.787161223,0.94967704,1.037652942
6/1974,0.787393709,0.955984104,1.044955179
7/1974,0.801610343,0.970302629,1.054021737
8/1974,0.815965907,0.981152083,1.058505133
9/1974,0.820436556,0.984998975,1.057787907
10/1974,0.828346057,0.99024314,1.058127196
11/1974,0.854282331,1.011345816,1.060840135
12/1974,0.865427379,1.017546372,1.057751403
1/1975,0.838647341,0.991734208,1.044606748
2/1975,0.819723972,0.969171294,1.029816569
3/1975,0.798676318,0.948710411,1.018986109
4/1975,0.785680759,0.9309995,1.008533892
5/1975,0.774533218,0.912773733,0.994619933
6/1975,0.77148189,0.900450544,0.983908618
7/1975,0.761308558,0.88946765,0.975582689
8/1975,0.727315986,0.861820019,0.95945641
9/1975,0.699409774,0.836783183,0.945510735
10/1975,0.677487522,0.817851673,0.935938939
11/1975,0.663046637,0.803974476,0.928690565
12/1975,0.667878344,0.803809559,0.92600107
1/1976,0.672805419,0.806126372,0.92566272
2/1976,0.656874627,0.790759063,0.916433758
3/1976,0.642196261,0.775691444,0.907156124
4/1976,0.635133432,0.76677368,0.90050697
5/1976,0.62944498,0.760922716,0.895722204
6/1976,0.61899507,0.751148126,0.889549158
7/1976,0.609378361,0.741706859,0.885094538
8/1976,0.609499079,0.74064114,0.883702788
9/1976,0.617908713,0.747115545,0.887080655
10/1976,0.627979749,0.756564339,0.89033973
11/1976,0.637780877,0.761965724,0.890682187
12/1976,0.639638868,0.763590728,0.890619202
1/1977,0.648356605,0.765712909,0.890151592
2/1977,0.641111328,0.764018354,0.888922389
3/1977,0.62489501,0.750422088,0.882521871
4/1977,0.60131759,0.731562058,0.874170479
5/1977,0.592428297,0.723883248,0.871760277
6/1977,0.58427487,0.717065811,0.868608475
7/1977,0.583256581,0.715401436,0.867868868
8/1977,0.582294178,0.715382513,0.869572209
9/1977,0.590911283,0.721047266,0.870568649
10/1977,0.602104222,0.730570069,0.874308067
11/1977,0.610716057,0.738722271,0.87827178
12/1977,0.633481433,0.757345732,0.886242509
1/1978,0.663630966,0.782125086,0.898501433
2/1978,0.653097923,0.779385163,0.900674171
3/1978,0.655026497,0.782125454,0.902788497
4/1978,0.646993067,0.778760384,0.904695593
5/1978,0.62945527,0.769078288,0.904557192
6/1978,0.619206968,0.762019132,0.904450047
7/1978,0.620522756,0.765083935,0.908505134
8/1978,0.617083526,0.764531834,0.911841516
9/1978,0.620805416,0.768409833,0.915790621
10/1978,0.627402222,0.776739604,0.922203394
11/1978,0.637205276,0.785915648,0.929681645
12/1978,0.643792542,0.790953849,0.931964511
1/1979,0.662616877,0.805888438,0.939127933
2/1979,0.674746533,0.817575456,0.946906031
3/1979,0.695017012,0.834882359,0.958260163
4/1979,0.734541272,0.862285928,0.973227453
5/1979,0.730212856,0.867501944,0.984471491
6/1979,0.719291773,0.865664224,0.99110471
7/1979,0.727426716,0.875503866,1.001605683
8/1979,0.744831609,0.894212065,1.016880226
9/1979,0.759510557,0.914612906,1.036572959
10/1979,0.774475469,0.939128467,1.059534875
11/1979,0.788265227,0.959117884,1.077457681
12/1979,0.807067046,0.982675949,1.095899583
1/1980,0.848602705,1.023559695,1.119828972
2/1980,0.89668852,1.073336853,1.15062895
3/1980,0.952111629,1.128503688,1.183213083
4/1980,1.001446045,1.184392874,1.214119961
5/1980,0.983062507,1.174677109,1.213701606
6/1980,0.954083834,1.144730527,1.195193116
7/1980,0.945074747,1.128338092,1.183138755
8/1980,0.933783757,1.113823184,1.174468599
9/1980,0.914175118,1.091240607,1.161924597
10/1980,0.902085557,1.076907807,1.154626072
11/1980,0.889669827,1.069515834,1.15450775
12/1980,0.886815178,1.06937487,1.15726881
1/1981,0.886743366,1.069700231,1.159950938
2/1981,0.881453316,1.06554885,1.159307759
3/1981,0.86809403,1.051447581,1.148849046
4/1981,0.866390357,1.046810295,1.145484413
5/1981,0.863207115,1.044583662,1.144928083
6/1981,0.863415757,1.045741377,1.147386543
7/1981,0.859160673,1.039260449,1.139360156
8/1981,0.853872278,1.035192802,1.134237779
9/1981,0.865425315,1.042297184,1.133337202
10/1981,0.856555866,1.035840437,1.127015868
11/1981,0.851590033,1.033993045,1.124372303
12/1981,0.855884256,1.029623318,1.11451001
1/1982,0.879902008,1.040904803,1.111462075
2/1982,0.882250977,1.041520872,1.108363572
3/1982,0.845659045,1.016551058,1.099349601
4/1982,0.830990558,1.000345583,1.091675005
5/1982,0.828174723,0.993437304,1.084206963
6/1982,0.821994554,0.986472731,1.079332112
7/1982,0.809734771,0.97561722,1.071113636
8/1982,0.794251436,0.963509318,1.061649702
9/1982,0.785801859,0.952848585,1.052300301
10/1982,0.782163256,0.944638167,1.041950878
11/1982,0.771795757,0.927433037,1.025862972
12/1982,0.778516655,0.923831267,1.015695121
1/1983,0.794411857,0.927668357,1.00864324
2/1983,0.767924442,0.904232669,0.994628652
3/1983,0.745471083,0.88296333,0.982323164
4/1983,0.726326315,0.865046256,0.972245611
5/1983,0.700614024,0.840162107,0.958404207
6/1983,0.693112715,0.829956251,0.951558794
7/1983,0.680596387,0.816999971,0.94254655
8/1983,0.669623342,0.806203042,0.935930122
9/1983,0.668642558,0.802569707,0.932411578
10/1983,0.652836137,0.788564618,0.924731399
11/1983,0.638698066,0.776794743,0.91939899
12/1983,0.64390656,0.779692514,0.919151803
1/1984,0.654190079,0.78776265,0.921991118
2/1984,0.653541484,0.787457291,0.922261157
3/1984,0.637437666,0.775751925,0.919894698
4/1984,0.626982251,0.767519158,0.918427459
5/1984,0.631404374,0.772532244,0.924255802
6/1984,0.630916822,0.773222071,0.926870145
7/1984,0.632624975,0.775992712,0.93097484
8/1984,0.637658933,0.780918239,0.935293135
9/1984,0.641994101,0.782276005,0.935248158
10/1984,0.646374719,0.785594952,0.938844041
11/1984,0.644948203,0.786423349,0.941293375
12/1984,0.644138001,0.786225057,0.941497297
1/1985,0.645077955,0.7869152,0.941313971
2/1985,0.646039717,0.788519732,0.942742044
3/1985,0.649774181,0.791512512,0.944196198
4/1985,0.656068337,0.795621408,0.945796455
5/1985,0.642170441,0.785016616,0.939143295
6/1985,0.635508771,0.779116208,0.934320471
7/1985,0.635013853,0.776639225,0.930348343
8/1985,0.630207535,0.773396829,0.926854175
9/1985,0.638388914,0.779301442,0.926884411
10/1985,0.644441204,0.786816648,0.932127752
11/1985,0.650479206,0.794213211,0.937138207
12/1985,0.662988027,0.80687903,0.946065642
1/1986,0.678776501,0.822245079,0.953892689
